"Varsta","Sex","Educatie","Venit","Vot"
"45","1","0","8.06","1"
"39","1","1","6.48","1"
"46","1","1","5.48","1"
"55","0","0","5.61","1"
"38","1","1","5.86","1"
"38","0","1","5.93","1"
"56","0","1","7.46","1"
"48","1","1","6.1","0"
"35","0","0","7.47","1"
"45","0","2","5.84","1"
"35","0","2","6.16","1"
"35","0","0","2","0"
"42","1","2","7.83","1"
"21","0","1","6.69","1"
"23","1","2","8","1"
"34","1","2","0.21","0"
"30","0","1","10.18","1"
"43","1","0","5.72","1"
"31","1","0","8.22","1"
"26","1","1","3.92","0"
"55","0","1","7.23","1"
"38","1","0","3.89","1"
"41","1","0","4.75","1"
"26","1","2","9.83","1"
"35","0","2","5.62","1"
"41","1","1","6.43","1"
"28","0","0","7.74","1"
"44","0","0","6.99","0"
"34","0","0","6.3","0"
"37","0","2","6.73","1"
"34","0","0","10.81","1"
"59","0","1","5.88","1"
"40","1","0","6.4","0"
"29","0","1","8.1","1"
"48","1","1","8.21","1"
"28","1","2","8.37","1"
"42","0","0","7.28","1"
"20","1","0","3.71","1"
"27","1","0","9.27","1"
"42","1","2","3.71","1"
"47","1","2","6.61","1"
"42","0","1","4.49","1"
"39","1","1","5.87","0"
"37","0","1","6.66","1"
"25","1","0","6.64","0"
"33","1","2","6.84","0"
"35","0","1","9.23","1"
"51","1","1","6.91","1"
"43","1","1","5.51","1"
"22","1","0","7.93","1"
"43","0","0","8.38","1"
"36","1","2","3.54","1"
"33","0","0","7.19","1"
"46","1","1","7.4","1"
"50","0","0","5.4","0"
"49","0","1","8.75","1"
"32","1","0","5.7","1"
"37","1","1","6.25","1"
"43","0","2","5.65","1"
"50","0","0","6.03","1"
"35","1","1","3.81","0"
"38","0","1","3.12","0"
"29","1","1","9.19","1"
"28","1","2","4.31","0"
"48","1","2","4.02","1"
"54","1","0","1.69","0"
"39","0","0","4.72","1"
"50","1","0","3.35","0"
"44","0","1","9.28","1"
"34","1","0","8.02","1"
"44","0","1","4.62","1"
"55","1","1","10.5","1"
"40","0","1","7.96","1"
"56","0","2","5.35","1"
"14","1","0","1","0"
"48","1","0","10.58","1"
"41","1","2","3.22","0"
"37","1","1","2.71","1"
"41","0","1","8.05","0"
"20","1","1","10.88","1"
"38","0","0","8.77","1"
"44","0","2","7.13","1"
"55","1","2","7.19","1"
"35","0","1","7.71","1"
"32","0","0","7.52","1"
"35","0","1","6.56","1"
"49","0","1","6.21","1"
"43","1","0","5.87","1"
"35","1","2","4.49","1"
"45","1","0","5.44","0"
"41","1","2","2.61","1"
"50","0","1","5.8","1"
"33","0","0","4.02","1"
"37","1","1","3.79","0"
"36","1","2","6.36","1"
"25","1","2","8.78","1"
"43","0","2","7.84","1"
"43","1","1","2.86","1"
"40","1","1","4.02","1"
"38","1","2","7.88","1"
"26","0","0","4.04","1"
"36","0","1","5.55","1"
"37","0","0","7.1","1"
"32","0","2","4.06","0"
"38","0","2","6.21","1"
"44","0","0","3.33","1"
"59","0","2","4.8","1"
"42","0","2","6.64","1"
"43","1","0","2.81","0"
"39","1","1","6.88","1"
"21","0","2","5.96","1"
"40","0","0","7.1","1"
"41","1","1","6.45","1"
"65","0","0","8.73","1"
"38","0","2","6.25","1"
"43","0","2","5.14","1"
"40","1","2","6.24","1"
"28","1","1","7.09","1"
"51","1","2","6.1","1"
"48","1","2","6.08","0"
"48","1","1","4.6","1"
"31","0","2","4.67","1"
"54","1","0","3.19","0"
"26","0","1","9.5","1"
"46","0","0","3.51","0"
"62","1","0","4.61","1"
"30","1","0","4.56","1"
"34","0","1","7.79","1"
"41","0","1","5.41","1"
"35","0","2","8.5","1"
"24","1","0","4.65","1"
"41","1","1","6.56","1"
"29","1","1","4.33","0"
"45","1","2","10.29","1"
"31","1","1","3.62","1"
"55","0","1","6.62","1"
"32","1","2","7.27","1"
"37","0","1","6.83","1"
"48","0","0","5.63","1"
"28","0","0","5.74","0"
"42","1","2","6.09","1"
"53","1","0","5.71","0"
"24","1","2","7.93","1"
"42","0","1","10.42","1"
"43","0","2","4.89","1"
"48","0","2","3.26","0"
"28","0","2","5.82","1"
"27","0","1","11.16","1"
"45","0","2","4.39","1"
"43","1","1","9.28","1"
"43","1","1","9.36","1"
"43","1","1","4.89","0"
