minut,nr. masini
1,13
2,11
3,11
4,10
5,19
6,12
7,7
8,12
9,13
10,17
11,14
12,15
13,12
14,10
15,10
16,7
17,10
18,18
19,12
20,11
21,14
22,11
23,9
24,12
25,16
26,15
27,11
28,12
29,11
30,15
31,7
32,12
33,19
34,9
35,10
36,19
37,13
38,15
39,12
40,18
41,20
42,14
43,10
44,11
45,24
46,9
47,12
48,12
49,10
50,9
51,11
52,12
53,16
54,15
55,16
56,8
57,11
58,8
59,19
60,14
61,15
62,9
63,15
64,11
65,9
66,6
67,11
68,9
69,12
70,18
71,16
72,9
73,15
74,12
75,13
76,11
77,19
78,13
79,12
80,16
81,12
82,12
83,10
84,11
85,7
86,11
87,5
88,9
89,10
90,13
91,10
92,12
93,14
94,14
95,10
96,9
97,10
98,8
99,17
100,15
101,4
102,13
103,9
104,15
105,9
106,11
107,7
108,5
109,13
110,8
111,8
112,16
113,10
114,8
115,15
116,8
117,15
118,11
119,18
120,11
121,15
122,14
123,18
124,18
125,8
126,11
127,10
128,10
129,13
130,10
131,8
132,10
133,7
134,12
135,10
136,14
137,9
138,13
139,8
140,11
141,13
142,14
143,11
144,19
145,13
146,15
147,20
148,11
149,21
150,16
151,13
152,7
153,11
154,19
155,10
156,14
157,12
158,11
159,12
160,7
161,11
162,14
163,14
164,10
165,13
166,9
167,13
168,14
169,17
170,8
171,14
172,10
173,9
174,17
175,10
176,12
177,16
178,15
179,8
180,14
181,22
182,13
183,11
184,9
185,11
186,19
187,18
188,16
189,19
190,18
191,18
192,17
193,13
194,23
195,18
196,24
197,19
198,14
199,16
200,11
201,17
202,18
203,23
204,21
205,18
206,19
207,20
208,17
209,16
210,15
211,17
212,15
213,12
214,21
215,10
216,17
217,24
218,14
219,17
220,28
221,21
222,13
223,25
224,11
225,23
226,17
227,13
228,15
229,12
230,22
231,22
232,14
233,18
234,12
235,16
236,14
237,19
238,23
239,19
240,20
241,20
242,27
243,20
244,13
245,19
246,18
247,17
248,18
249,23
250,19
251,17
252,27
253,14
254,10
255,13
256,7
257,13
258,9
259,17
260,16
261,15
262,11
263,10
264,12
265,14
266,9
267,17
268,14
269,17
270,16
271,14
272,13
273,16
274,13
275,12
276,17
277,5
278,14
279,20
280,11
281,14
282,17
283,13
284,13
285,18
286,12
287,14
288,8
289,9
290,11
291,11
292,15
293,19
294,14
295,13
296,11
297,21
298,16
299,9
300,14
301,10
302,12
303,11
304,13
305,12
306,15
307,11
308,18
309,11
310,9
311,16
312,7
313,10
314,14
315,10
316,15
317,16
318,12
319,22
320,9
321,11
322,10
323,16
324,20
325,12
326,14
327,16
328,11
329,14
330,6
331,14
332,11
333,10
334,11
335,9
336,10
337,15
338,10
339,10
340,22
341,16
342,11
343,13
344,13
345,16
346,14
347,16
348,17
349,12
350,17
351,11
352,10
353,9
354,9
355,7
356,8
357,17
358,11
359,9
360,8
361,14
362,12
363,18
364,11
365,13
366,13
367,8
368,5
369,18
370,6
371,15
372,20
373,20
374,13
375,10
376,13
377,10
378,14
379,20
380,12
381,10
382,14
383,10
384,12
385,11
386,15
387,8
388,16
389,13
390,13
391,10
392,14
393,17
394,15
395,13
396,17
397,8
398,13
399,17
400,10
401,9
402,17
403,20
404,18
405,7
406,15
407,7
408,11
409,14
410,7
411,17
412,14
413,14
414,8
415,11
416,10
417,18
418,12
419,8
420,16
421,16
422,17
423,17
424,12
425,18
426,8
427,15
428,17
429,10
430,15
431,18
432,14
433,14
434,9
435,12
436,11
437,13
438,16
439,10
440,13
441,6
442,11
443,13
444,11
445,10
446,13
447,19
448,11
449,14
450,18
451,5
452,13
453,13
454,17
455,13
456,9
457,5
458,15
459,14
460,13
461,9
462,14
463,19
464,8
465,14
466,20
467,13
468,18
469,12
470,13
471,6
472,9
473,10
474,4
475,14
476,14
477,18
478,10
479,15
480,5
481,14
482,10
483,11
484,16
485,17
486,23
487,18
488,10
489,10
490,15
491,13
492,17
493,13
494,20
495,16
496,16
497,13
498,7
499,15
500,11
501,14
502,14
503,5
504,17
505,20
506,12
507,7
508,12
509,10
510,16
511,13
512,12
513,15
514,7
515,8
516,12
517,17
518,17
519,16
520,14
521,12
522,10
523,13
524,5
525,18
526,16
527,19
528,16
529,15
530,10
531,19
532,8
533,12
534,10
535,19
536,16
537,9
538,15
539,9
540,21
541,11
542,17
543,6
544,13
545,8
546,13
547,15
548,15
549,22
550,11
551,9
552,10
553,8
554,9
555,15
556,14
557,13
558,6
559,18
560,17
561,15
562,14
563,14
564,15
565,14
566,9
567,16
568,11
569,15
570,11
571,20
572,12
573,11
574,10
575,17
576,16
577,15
578,14
579,11
580,12
581,17
582,19
583,17
584,19
585,10
586,9
587,8
588,12
589,16
590,10
591,16
592,15
593,12
594,17
595,10
596,11
597,12
598,9
599,13
600,12
601,17
602,11
603,11
604,9
605,12
606,24
607,9
608,8
609,11
610,14
611,9
612,15
613,14
614,9
615,13
616,7
617,7
618,6
619,12
620,18
621,15
622,9
623,12
624,9
625,13
626,13
627,13
628,22
629,8
630,12
631,16
632,20
633,13
634,15
635,19
636,13
637,13
638,13
639,13
640,7
641,15
642,5
643,11
644,14
645,11
646,14
647,18
648,14
649,15
650,17
651,10
652,8
653,9
654,13
655,9
656,12
657,7
658,15
659,18
660,7
661,12
662,14
663,15
664,11
665,15
666,12
667,15
668,18
669,16
670,15
671,11
672,11
673,12
674,13
675,10
676,18
677,9
678,14
679,17
680,10
681,13
682,20
683,18
684,7
685,15
686,12
687,14
688,19
689,12
690,9
691,18
692,12
693,16
694,12
695,15
696,13
697,12
698,16
699,8
700,16
701,13
702,9
703,17
704,14
705,19
706,12
707,11
708,17
709,13
710,20
711,11
712,8
713,11
714,9
715,14
716,9
717,12
718,11
719,11
720,14
721,11
722,18
723,18
724,14
725,19
726,20
727,19
728,21
729,12
730,21
731,12
732,13
733,16
734,18
735,12
736,20
737,18
738,9
739,16
740,16
741,17
742,13
743,21
744,11
745,20
746,16
747,12
748,11
749,14
750,9
751,9
752,12
753,25
754,11
755,15
756,12
757,13
758,13
759,16
760,19
761,12
762,9
763,15
764,12
765,16
766,18
767,14
768,12
769,15
770,18
771,15
772,12
773,8
774,12
775,19
776,19
777,9
778,14
779,20
780,17
781,27
782,14
783,14
784,16
785,13
786,16
787,15
788,13
789,11
790,10
791,19
792,10
793,22
794,10
795,10
796,16
797,14
798,21
799,13
800,12
801,18
802,14
803,14
804,7
805,12
806,9
807,21
808,17
809,16
810,16
811,10
812,19
813,19
814,16
815,16
816,16
817,21
818,20
819,11
820,13
821,10
822,17
823,10
824,18
825,12
826,24
827,17
828,20
829,14
830,13
831,14
832,18
833,8
834,8
835,14
836,10
837,16
838,20
839,18
840,15
841,11
842,18
843,15
844,15
845,15
846,19
847,10
848,11
849,13
850,11
851,20
852,12
853,16
854,17
855,12
856,11
857,14
858,11
859,14
860,15
861,13
862,16
863,9
864,13
865,17
866,11
867,14
868,15
869,15
870,8
871,15
872,15
873,18
874,20
875,20
876,24
877,15
878,7
879,11
880,17
881,20
882,15
883,12
884,17
885,11
886,15
887,14
888,14
889,12
890,16
891,15
892,20
893,12
894,8
895,12
896,9
897,7
898,14
899,10
900,11
901,13
902,7
903,10
904,11
905,13
906,9
907,9
908,9
909,10
910,13
911,11
912,5
913,11
914,15
915,8
916,13
917,17
918,14
919,14
920,8
921,12
922,11
923,10
924,7
925,12
926,15
927,7
928,16
929,12
930,10
931,7
932,7
933,15
934,9
935,16
936,15
937,16
938,8
939,11
940,8
941,16
942,7
943,9
944,4
945,14
946,10
947,11
948,7
949,15
950,11
951,12
952,9
953,9
954,9
955,11
956,12
957,7
958,7
959,15
960,8
961,9
962,10
963,11
964,7
965,13
966,5
967,9
968,6
969,15
970,13
971,10
972,11
973,9
974,14
975,12
976,10
977,8
978,6
979,10
980,16
981,11
982,10
983,9
984,11
985,7
986,11
987,10
988,16
989,13
990,8
991,12
992,6
993,7
994,7
995,9
996,7
997,15
998,7
999,11
1000,10
1001,21
1002,12
1003,8
1004,4
1005,15
1006,9
1007,12
1008,10
1009,10
1010,14
1011,11
1012,10
1013,13
1014,6
1015,10
1016,11
1017,5
1018,6
1019,9
1020,8
1021,14
1022,10
1023,9
1024,12
1025,16
1026,12
1027,6
1028,14
1029,13
1030,8
1031,8
1032,6
1033,11
1034,9
1035,10
1036,7
1037,9
1038,13
1039,15
1040,9
1041,5
1042,11
1043,16
1044,15
1045,14
1046,11
1047,14
1048,9
1049,8
1050,11
1051,13
1052,8
1053,10
1054,7
1055,9
