Surface_area,Rooms,Distance_to_center,Price
87.45,3,9.13,247.02
145.07,4,2.78,416.78
123.2,3,1.88,360.14
109.87,1,5.15,303.5
65.6,4,9.86,205.48
65.6,1,2.8,189.37
55.81,4,6.89,189.73
136.62,4,7.74,390.26
110.11,2,2.76,312.59
120.81,1,7.42,320.53
52.06,3,3.99,178.46
146.99,3,6.51,402.24
133.24,1,6.52,355.34
71.23,3,5.59,224.12
68.18,3,1.36,231.8
68.34,1,8.44,190.81
80.42,4,3.55,253.53
102.48,1,2.27,284.68
93.19,4,0.89,302.9
79.12,3,6.11,242.04
111.19,3,6.94,319.73
63.95,3,0.66,237.16
79.21,2,5.36,234.8
86.64,4,2.65,284.31
95.61,2,6.63,273.9
128.52,2,2.16,368.08
69.97,1,7.06,192.15
101.42,2,4.17,294.83
109.24,1,9.4,281.04
54.65,1,1.81,170.01
110.75,2,3.74,313.24
67.05,4,1.58,233.31
56.51,4,9.28,194.98
144.89,4,8.83,396.38
146.56,4,2.95,430.99
130.84,4,6.77,368.73
80.46,2,8.26,224
59.77,2,5.77,187.54
118.42,3,5.53,339.78
94.02,4,2.8,291.26
62.2,2,1.38,197.78
99.52,3,9.02,285.12
53.44,4,9.05,172.78
140.93,1,6.51,373.87
75.88,3,3.72,238.76
116.25,2,3.82,325.92
81.17,1,7.4,231.46
102.01,1,9.02,271.12
104.67,1,8.93,264.77
68.49,3,7.91,208.42
146.96,2,6.6,394.29
127.51,1,1.3,359.15
143.95,4,2.04,419.81
139.48,1,9.04,361.02
109.79,1,6.26,298.22
142.19,3,0.59,418.04
58.85,3,1.46,196.73
69.6,2,6.8,201.91
54.52,4,0.55,202.29
82.53,3,2.03,256.98
88.87,1,5.71,253.86
77.13,2,7.07,223.64
132.87,1,6.69,345.8
85.68,1,2.63,250.89
78.09,3,7.27,244.05
104.27,2,2.75,307.57
64.09,4,3.59,211.86
130.22,4,7.59,370.35
57.46,3,6.67,189.96
148.69,3,8.57,402.48
127.22,2,6.75,350.04
69.87,4,5.9,230.86
50.55,4,1.39,187.58
131.55,4,3.99,386.59
120.69,1,3.02,316.45
122.9,4,2.82,363.68
127.13,1,9.74,327.32
57.4,2,4.23,174.57
85.85,1,8.97,235.86
61.59,2,6.5,177.33
136.31,4,8.05,384.42
112.33,4,5.28,335.65
83.09,2,5.98,246.99
56.36,3,5.18,178.17
81.1,2,2.35,251.5
82.52,3,7.36,244.26
122.96,1,3.17,332.99
113.76,1,0.73,324.51
138.72,1,6.63,367.9
97.22,4,2.18,303.5
61.96,1,9.43,166.94
121.32,3,9.56,332.7
126.08,1,9.19,328.19
106.13,2,4.02,306.58
127.1,2,0.65,373.73
99.38,4,9.32,284.3
102.27,2,4.57,302.65
92.75,3,9.68,253.08
52.54,1,9.65,141.63
60.79,4,8.6,199.1
