"Ore_Studiu","Ore_Somn","Promovare"
"6.5","8.46","1"
"5.86","8.95","1"
"6.65","7.3","1"
"7.52","8.28","1"
"5.77","7.67","1"
"5.77","7.76","1"
"7.58","7.7","1"
"6.77","7.57","1"
"5.53","8.02","1"
"6.54","7.58","1"
"5.54","8.14","1"
"5.53","7.97","1"
"6.24","7.88","1"
"4.09","7.55","1"
"4.28","7.71","1"
"5.44","8.38","1"
"4.99","8.25","1"
"6.31","7.51","1"
"5.09","8.05","1"
"4.59","8.38","1"
"7.47","7.17","1"
"5.77","8.27","1"
"6.07","7.67","1"
"4.58","8.29","1"
"5.46","7.62","1"
"6.11","7.1","1"
"4.85","7.19","1"
"6.38","8.02","1"
"5.4","8.13","1"
"5.71","7.55","1"
"5.4","8.32","1"
"7.85","7.17","1"
"5.99","7.97","1"
"4.94","7.39","1"
"6.82","7.67","1"
"4.78","8.02","1"
"6.21","7.57","1"
"4.04","7.81","1"
"4.67","8.5","1"
"6.2","7.71","1"
"6.74","8.42","1"
"6.17","7.44","1"
"5.88","8.26","1"
"5.7","8.72","1"
"4.52","6.76","1"
"5.28","7.6","1"
"5.54","8.29","1"
"7.06","7.9","1"
"6.34","8.19","1"
"4.24","7.7","1"
"6.32","8.04","1"
"5.61","7.92","1"
"5.32","8.58","1"
"6.61","8.13","1"
"7.03","8.17","1"
"6.93","7.79","1"
"5.16","7.76","1"
"5.69","7.78","1"
"6.33","8.2","1"
"6.98","7.79","1"
"5.52","8.14","1"
"5.81","9.04","1"
"4.89","8.44","1"
"4.8","7.84","1"
"6.81","8.6","1"
"7.36","7.8","1"
"5.93","6.98","1"
"7","7.5","1"
"6.36","7.06","1"
"5.35","7.82","1"
"6.36","8.01","1"
"7.54","8.84","1"
"5.96","8.16","1"
"7.56","7.89","1"
"3.38","8.41","1"
"6.82","6.89","1"
"6.09","8.12","1"
"5.7","8.39","1"
"6.09","7.26","1"
"4.01","8.57","1"
"5.78","8.17","1"
"6.36","7.79","1"
"7.48","8.32","1"
"5.48","9.14","1"
"5.19","8.09","1"
"5.5","8.12","1"
"6.92","7.77","1"
"6.33","7.58","1"
"5.47","8.42","1"
"6.51","7.57","1"
"6.1","8.04","1"
"6.97","7.76","1"
"5.3","8.24","1"
"5.67","8.17","1"
"5.61","8.52","1"
"4.54","7.74","1"
"6.3","7.87","1"
"6.26","7.51","1"
"6.01","7.78","1"
"5.77","8.19","1"
"4.58","8.38","1"
"5.58","7.54","1"
"5.66","8.43","1"
"5.2","8.68","1"
"5.84","8.21","1"
"6.4","8.94","1"
"7.89","7.61","1"
"6.17","7.38","1"
"6.26","7.11","1"
"5.93","8.75","1"
"4.08","8.33","1"
"5.97","7.97","1"
"6.06","8.14","1"
"8.46","7.44","1"
"5.81","9.22","1"
"6.3","8.06","1"
"5.97","8.05","1"
"4.83","8.36","1"
"7.14","8.24","1"
"6.75","8.11","1"
"6.79","7.6","1"
"5.09","8.24","1"
"7.4","8.94","1"
"4.6","8.67","1"
"6.59","8.8","1"
"8.19","7.74","1"
"5.01","7.51","1"
"5.43","7.94","1"
"6.1","8.03","1"
"5.5","8.55","1"
"4.45","7.15","1"
"6.07","8.76","1"
"4.94","7.92","1"
"6.47","7.79","1"
"5.08","7.49","1"
"7.55","7.17","1"
"5.22","8.41","1"
"5.68","8.04","1"
"6.81","7.36","1"
"4.77","7.35","1"
"6.23","7.83","1"
"7.31","8.83","1"
"4.39","7.87","1"
"6.18","7.25","1"
"6.26","7.88","1"
"6.78","7.86","1"
"4.76","6.65","1"
"4.68","7.97","1"
"6.52","7.88","1"
"6.3","8.35","1"
"6.25","8.92","1"
"6.35","8.56","1"
"5.32","7.87","1"
"6.23","7.45","1"
"6.29","9.29","1"
"5.29","8.03","1"
"7.87","8.01","1"
"6.47","7.99","1"
"4.81","8.1","1"
"6.66","7.93","1"
"5.03","7.71","1"
"6.79","7.73","1"
"7.16","7.98","1"
"5.18","7.73","1"
"6.96","7.64","1"
"6.41","8.05","1"
"6.82","7.87","1"
"7.9","8.75","1"
"5.75","6.67","1"
"5.25","8.55","1"
"5.11","8.62","1"
"5.18","6.96","1"
"5.92","7.83","1"
"6.34","7.81","1"
"6.28","7.3","1"
"6.83","7.61","1"
"6.01","7.44","1"
"7.45","8.88","1"
"5.74","8.47","1"
"8.72","8.64","1"
"6.63","8.36","1"
"5.14","7.44","1"
"4.93","7.74","1"
"6.48","8.24","1"
"5.78","7.39","1"
"6.71","8.36","1"
"6.47","7.88","1"
"5.93","7.81","1"
"5.15","8.36","1"
"4.49","8.22","1"
"5.55","7.82","1"
"6.86","8.58","1"
"6.21","7.46","1"
"4.75","8.31","1"
"6.17","8.3","1"
"6.39","7.85","1"
"5.12","8.16","1"
"6.15","7.37","1"
"6.06","8.46","1"
"4.86","7.91","1"
"6.36","7.74","1"
"6.56","8.52","1"
"7.08","7.65","1"
"7.05","7.3","1"
"4.62","7.22","1"
"5.06","8.3","1"
"6.52","7.36","1"
"6.51","8.88","1"
"6.52","6.96","1"
"9.85","8.85","1"
"6.57","8.11","1"
"7.14","7.95","1"
"6.95","7.73","1"
"6.65","8.2","1"
"5.68","7.98","1"
"6.76","8.55","1"
"5.23","8.06","1"
"5.76","8.08","1"
"5.51","7.82","1"
"6.08","7.97","1"
"8.31","8.15","1"
"4.13","7.14","1"
"6.69","7.33","1"
"4.39","8.37","1"
"5.53","8.09","1"
"7.09","7.91","1"
"6.06","8.01","1"
"4.92","8.17","1"
"5.28","7.73","1"
"6.68","7.61","1"
"5.27","8.1","1"
"6.22","7.51","1"
"6.05","8.2","1"
"5.35","7.15","1"
"8.14","8.51","1"
"6.63","8.24","1"
"3.97","8.13","1"
"6.19","8.49","1"
"5.34","8.83","1"
"6.85","8.51","1"
"5.21","7.08","1"
"5.89","7.36","1"
"6.5","7.69","1"
"6.87","8.01","1"
"4.8","8.26","1"
"5.67","7.64","1"
"5.53","8.09","1"
"5.35","7.62","1"
"7.77","7.69","1"
"6.4","7.3","1"
"0.74","4.54","0"
"2.92","4.32","0"
"4.12","4.51","0"
